Date,High,Low,Open,Close,Volume,Adj Close
2021-03-22,257.6700134277344,250.16000366210938,255.82000732421875,251.22999572753906,15230000,251.22999572753906
2021-03-23,251.3000030517578,239.42999267578125,249.25999450683594,241.25,21358200,241.25
2021-03-24,248.8000030517578,239.05999755859375,243.75,239.24000549316406,24055100,239.24000549316406
2021-03-25,247.5800018310547,231.6999969482422,234.33999633789062,247.19000244140625,27553600,247.19000244140625
2021-03-26,250.89999389648438,240.3000030517578,249.6199951171875,244.8699951171875,17157100,244.8699951171875
2021-03-29,254.7100067138672,248.02999877929688,251.3000030517578,250.52000427246094,22198800,250.52000427246094
2021-03-30,253.5,248.91000366210938,251.24000549316406,252.00999450683594,12577300,252.00999450683594
2021-03-31,257.8800048828125,253.36000061035156,254.6999969482422,254.72000122070312,14138500,254.72000122070312
2021-04-01,257.8800048828125,251.30999755859375,256.6700134277344,252.9600067138672,10934500,252.9600067138672
2021-04-05,260.4800109863281,256.25,256.55999755859375,259.3599853515625,13750300,259.3599853515625
2021-04-06,259.3500061035156,254.66000366210938,257.2099914550781,255.1699981689453,11180300,255.1699981689453
2021-04-07,255.89999389648438,250.8300018310547,255.30999755859375,252.5800018310547,9925700,252.5800018310547
2021-04-08,254.9499969482422,249.30999755859375,251.6999969482422,254.9499969482422,9899900,254.9499969482422
2021-04-09,252.83999633789062,249.44000244140625,250.50999450683594,252.36000061035156,12255900,252.36000061035156
2021-04-12,251.5500030517578,246.2899932861328,250.57000732421875,249.52000427246094,10383600,249.52000427246094
2021-04-13,254.49000549316406,246.10000610351562,248.3300018310547,253.27000427246094,15901400,253.27000427246094
2021-04-14,258.3699951171875,251.27999877929688,255.32000732421875,252.42999267578125,12661800,252.42999267578125
2021-04-15,254.1199951171875,249.42999267578125,253.55999755859375,251.11000061035156,9479000,251.11000061035156
2021-04-16,253.0500030517578,246.22999572753906,252.0,248.17999267578125,14606000,248.17999267578125
2021-04-19,247.0,242.22000122070312,247.0,244.14999389648438,9249300,244.14999389648438
2021-04-20,241.08999633789062,232.33999633789062,241.02999877929688,234.05999755859375,19483600,234.05999755859375
2021-04-21,236.75999450683594,230.22000122070312,232.22000122070312,235.9199981689453,12847000,235.9199981689453
2021-04-22,239.64999389648438,233.3800048828125,235.9600067138672,234.3300018310547,13854400,234.3300018310547
2021-04-23,238.5800018310547,233.11000061035156,233.88999938964844,238.3800048828125,11533100,238.3800048828125
2021-04-26,244.64999389648438,240.10000610351562,240.24000549316406,241.44000244140625,10599600,241.44000244140625
2021-04-27,243.49000549316406,239.41000366210938,241.8800048828125,242.47000122070312,10583300,242.47000122070312
2021-04-28,239.64999389648438,232.85000610351562,239.0,235.4600067138672,19054100,235.4600067138672
2021-04-29,237.67999267578125,231.8000030517578,237.0,235.94000244140625,12296100,235.94000244140625
2021-04-30,236.77000427246094,232.6999969482422,233.67999267578125,234.30999755859375,10380400,234.30999755859375
2021-05-03,237.10000610351562,233.80999755859375,234.11000061035156,235.19000244140625,9887800,235.19000244140625
2021-05-04,236.64999389648438,225.64999389648438,235.75,233.6300048828125,17807200,233.6300048828125
2021-05-05,233.49000549316406,227.55999755859375,232.4499969482422,228.17999267578125,14913500,228.17999267578125
2021-05-06,231.1699981689453,226.5500030517578,229.3000030517578,229.80999755859375,11857100,229.80999755859375
2021-05-07,235.91000366210938,227.99000549316406,229.8000030517578,235.47000122070312,12823000,235.47000122070312
2021-05-10,241.10000610351562,232.5,236.83999633789062,232.92999267578125,14813900,232.92999267578125
2021-05-11,230.1300048828125,223.85000610351562,226.55999755859375,228.8800048828125,16273200,228.8800048828125
2021-05-12,229.74000549316406,220.6300048828125,227.25,220.77999877929688,14931200,220.77999877929688
2021-05-13,229.27000427246094,219.07000732421875,223.0,222.63999938964844,16503400,222.63999938964844
2021-05-14,228.80999755859375,224.35000610351562,225.99000549316406,228.47000122070312,10162400,228.47000122070312
2021-05-17,228.25999450683594,223.5800018310547,226.24000549316406,227.97999572753906,9559300,227.97999572753906
2021-05-18,232.27000427246094,226.42999267578125,227.25,227.5500030517578,10081100,227.5500030517578
2021-05-19,225.1199951171875,220.27999877929688,223.17999267578125,224.4199981689453,13162700,224.4199981689453
2021-05-20,228.44000244140625,223.77000427246094,225.1300048828125,227.64999389648438,9218900,227.64999389648438
2021-05-21,236.3000030517578,231.38999938964844,232.89999389648438,234.82000732421875,16579000,234.82000732421875
2021-05-24,238.5,232.60000610351562,235.13999938964844,237.44000244140625,10106000,237.44000244140625
2021-05-25,243.77999877929688,239.22999572753906,240.0,240.74000549316406,12908000,240.74000549316406
2021-05-26,242.49000549316406,239.8699951171875,241.6999969482422,241.3699951171875,7240200,241.3699951171875
2021-05-27,252.60000610351562,247.19000244140625,248.11000061035156,250.6999969482422,18404400,250.6999969482422
2021-05-28,248.97999572753906,245.3699951171875,247.47999572753906,247.02000427246094,11197400,247.02000427246094
2021-06-01,255.63999938964844,251.52000427246094,253.0,254.72999572753906,13562800,254.72999572753906
2021-06-02,258.3999938964844,254.6199951171875,255.60000610351562,255.6199951171875,10820400,255.6199951171875
2021-06-03,254.8000030517578,249.69000244140625,252.97999572753906,250.32000732421875,10402000,250.32000732421875
2021-06-04,251.8000030517578,248.49000549316406,251.50999450683594,249.9199981689453,8799000,249.9199981689453
2021-06-07,253.1999969482422,248.80999755859375,251.5,252.66000366210938,10606000,252.66000366210938
2021-06-08,256.30999755859375,250.0,256.260009765625,252.75999450683594,15113900,252.75999450683594
2021-06-09,253.1699981689453,247.91000366210938,251.1999969482422,248.05999755859375,10693200,248.05999755859375
2021-06-10,255.13999938964844,248.10000610351562,251.72000122070312,248.33999633789062,14519200,248.33999633789062
2021-06-11,251.1199951171875,245.77999877929688,250.35000610351562,247.27999877929688,9934200,247.27999877929688
2021-06-14,249.1999969482422,244.39999389648438,246.44000244140625,245.13999938964844,9344400,245.13999938964844
2021-06-15,248.50999450683594,244.94000244140625,245.36000061035156,246.5399932861328,10630900,246.5399932861328
2021-06-16,246.05999755859375,241.5500030517578,245.25,242.27000427246094,10529200,242.27000427246094
2021-06-17,243.5,237.3300018310547,241.9600067138672,239.22000122070312,10774400,239.22000122070312
2021-06-18,239.30999755859375,235.8000030517578,237.7899932861328,237.35000610351562,11965000,237.35000610351562
2021-06-21,245.6199951171875,237.25,238.66000366210938,245.27999877929688,15301800,245.27999877929688
2021-06-22,244.6300048828125,241.0800018310547,244.5,243.77999877929688,10042500,243.77999877929688
2021-06-23,246.8699951171875,243.1699981689453,244.8000030517578,243.57000732421875,9874700,243.57000732421875
2021-06-24,250.74000549316406,243.6999969482422,245.1999969482422,250.57000732421875,13755600,250.57000732421875
2021-06-25,252.3000030517578,248.25,250.75,248.3800048828125,9625800,248.3800048828125
2021-06-28,245.0800018310547,238.8800048828125,244.72999572753906,239.9600067138672,18152000,239.9600067138672
2021-06-29,244.3699951171875,235.66000366210938,243.74000549316406,235.75999450683594,16743900,235.75999450683594
2021-06-30,241.1699981689453,236.0,236.24000549316406,239.55999755859375,12089100,239.55999755859375
2021-07-01,241.8000030517578,238.61000061035156,240.36000061035156,239.72999572753906,9516200,239.72999572753906
2021-07-02,240.11000061035156,233.47000122070312,239.5500030517578,236.67999267578125,15706600,236.67999267578125
2021-07-06,237.1699981689453,233.47000122070312,236.85000610351562,236.13999938964844,11045800,236.13999938964844
2021-07-07,238.00999450683594,230.52000427246094,235.1699981689453,231.77999877929688,11497000,231.77999877929688
2021-07-08,237.47000122070312,226.16000366210938,227.47999572753906,236.77000427246094,17964300,236.77000427246094
2021-07-09,240.3800048828125,236.22000122070312,237.77000427246094,239.58999633789062,12385400,239.58999633789062
2021-07-12,240.77000427246094,236.4600067138672,237.99000549316406,238.2899932861328,9071500,238.2899932861328
2021-07-13,234.49000549316406,228.16000366210938,232.27000427246094,228.1999969482422,21029500,228.1999969482422
2021-07-14,230.52000427246094,224.3000030517578,229.02000427246094,224.4499969482422,12137000,224.4499969482422
2021-07-15,226.6699981689453,220.8000030517578,222.8800048828125,222.75999450683594,12228600,222.75999450683594
2021-07-16,224.0,217.02999877929688,223.11000061035156,217.74000549316406,12413400,217.74000549316406
2021-07-19,211.5500030517578,204.8000030517578,211.17999267578125,206.99000549316406,24123600,206.99000549316406
2021-07-20,217.3699951171875,206.6199951171875,208.10000610351562,217.14999389648438,17027300,217.14999389648438
2021-07-21,224.08999633789062,218.89999389648438,219.5,222.5399932861328,11437600,222.5399932861328
2021-07-22,222.25,218.30999755859375,221.52000427246094,220.8699951171875,9768900,220.8699951171875
2021-07-23,224.6300048828125,220.94000244140625,222.97000122070312,221.52000427246094,9379500,221.52000427246094
2021-07-26,226.1199951171875,219.88999938964844,220.0,225.85000610351562,8933200,225.85000610351562
2021-07-27,225.6999969482422,220.4199981689453,223.1699981689453,222.27000427246094,8784200,222.27000427246094
2021-07-28,237.49000549316406,231.3300018310547,234.0500030517578,231.57000732421875,19330500,231.57000732421875
2021-07-29,234.82000732421875,231.1199951171875,233.69000244140625,231.6300048828125,8667900,231.6300048828125
2021-07-30,231.17999267578125,225.39999389648438,229.38999938964844,226.47999572753906,9940100,226.47999572753906
2021-08-02,230.47000122070312,224.8699951171875,227.19000244140625,225.33999633789062,8889100,225.33999633789062
2021-08-03,229.10000610351562,221.3000030517578,225.89999389648438,229.08999633789062,7326400,229.08999633789062
2021-08-04,232.35000610351562,225.3300018310547,226.4199981689453,226.6300048828125,9756300,226.6300048828125
